,Unnamed: 0,platforms,genres,rating,title,url,star,review,author,n_ratings,cover,id,type
0,0,PC / PS4 / Xbox One,游戏 / 角色扮演 / 冒险 / 动作,9.7,巫师3：狂猎 血与酒 The Witcher 3: Wild Hunt - Blood and Wine,https://www.douban.com/game/26682759/,50.0,请购买steam正版吧，你会发现cdp公司需要玩家的支持，而他们的定价之低，游戏耐玩度精致度之高，根本就太不对劲了。,墨梓,4233.0,https://img1.doubanio.com/lpic/s29296639.jpg,0,动作
1,1,Nintendo Switch,游戏 / 冒险 / 动作,9.7,塞尔达传说 旷野之息 - 英杰们的诗篇 ゼルダの伝説 ブレス オブ ザ ワイルド 英傑たちの詩,https://www.douban.com/game/27599942/,50.0,能回头看看Mipha就值回票价,Simbelmynë,649.0,https://img1.doubanio.com/lpic/s29663617.jpg,1,动作
2,2,GB,游戏 / 横版过关 / 动作,9.6,超级马里奥兄弟DX スーパーマリオブラザーズデラックス,https://www.douban.com/game/26968414/,50.0,想玩是个大麻烦,夜雨声烦,30.0,https://img3.doubanio.com/lpic/s29683066.jpg,2,动作
3,3,PS3,游戏 / 射击 / 冒险 / 动作,9.6,最后生还者 The Last of Us,https://www.douban.com/game/10794117/,50.0,豆瓣再加一个看过的选项吧，这么多视频通关的人，麻烦不要选玩过。,沉默的船,3024.0,https://img1.doubanio.com/lpic/s28313317.jpg,3,动作
4,4,PC / PS4 / Xbox One,游戏 / 卡牌 / 角色扮演 / 冒险 / 动作,9.6,巫师3：狂猎 The Witcher 3: Wild Hunt,https://www.douban.com/game/21355730/,50.0,我买到了一个世界,Jason_Chang,11312.0,https://img3.doubanio.com/lpic/s28081091.jpg,4,动作
5,5,PS4,游戏 / 冒险 / 动作,9.6,最后生还者 重制版 The Last of Us Remastered,https://www.douban.com/game/25889245/,50.0,如果你身边的人把游戏理解为LoL与王者荣耀，那么仅仅让他们玩个序章就足以颠覆他们对游戏的三观,Fr.ayden,6648.0,https://img1.doubanio.com/lpic/s27285107.jpg,5,动作
6,6,PC / PS4 / Xbox One / PS3 / Xbox 360,游戏 / 冒险 / 动作,9.6,侠盗猎车手5 Grand Theft Auto V,https://www.douban.com/game/11504723/,50.0,小富作为穷人，金钱就是他的梦想。老麦作为罪犯，和平安稳的生活就是他的梦想。老崔作为一个情感有缺失的人，照顾兄弟和被熊第照顾就是他的梦想。,老頭樂,14227.0,https://img3.doubanio.com/lpic/s29296395.jpg,6,动作
7,7,PC / Mac,游戏 / 角色扮演 / 动作,9.6,暗黑破坏神2：毁灭之王 Diablo II: Lord of Destruction,https://www.douban.com/game/10758454/,50.0,"我是80后，玩这款游戏是上大学，寝室一台电脑，六个人。每人4个小时，大家练级比较。大冬天，我有一次抽签是0到4点。12点准时起来。穿2件棉袄。大学的记忆。
",每天小努力,3700.0,https://img1.doubanio.com/lpic/s25809809.jpg,7,动作
8,8,Wii,游戏 / 动作,9.6,超级马力欧银河 スーパーマリオギャラクシー,https://www.douban.com/game/14329485/,50.0,这不是游戏，这是艺术。关卡设计数据库，动作游戏顶峰，无法想象高清之后的马银会达到何种程度。,redhousepainter,445.0,https://img3.doubanio.com/lpic/s28397842.jpg,8,动作
9,9,Nintendo Switch,游戏 / 大型多人在线 / 射击 / 动作,9.6,喷射战士2：章鱼扩展包 Splatoon 2: Octo Expansion,https://www.douban.com/game/30396145/,50.0,太好玩了一边吃章鱼小丸子一边留下感动泪水,肉松撕裂者,47.0,https://img3.doubanio.com/lpic/s29940781.jpg,9,动作
10,10,PS4 / Xbox One,游戏 / 冒险 / 动作,9.6,荒野大镖客：救赎2 Red Dead Redemption 2,https://www.douban.com/game/26815212/,50.0,有多少人给自己的马起名叫萝卜的？,木易尹,4269.0,https://img1.doubanio.com/lpic/s29756927.jpg,10,动作
11,11,Nintendo Switch,游戏 / 冒险 / 动作,9.6,超级马里奥 奥德赛 スーパーマリオ オデッセイ,https://www.douban.com/game/26954652/,50.0,任天堂他妈的就是世界的主宰！,栗悟饭与龟波功,6697.0,https://img1.doubanio.com/lpic/s29543798.jpg,11,动作
12,12,PC / PS4 / Xbox One,游戏 / 角色扮演 / 冒险 / 动作,9.6,只狼：影逝二度 SEKIRO: SHADOWS DIE TWICE,https://www.douban.com/game/30245105/,50.0,一星的那个有病？,长夜漫漫路迢迢,2721.0,https://img1.doubanio.com/lpic/s29960207.jpg,12,动作
13,13,PS4 / PS3 / Xbox 360 / PSP / PS / SS/世嘉土星,游戏 / 横版过关 / 角色扮演 / 动作冒险 / 动作,9.6,恶魔城X：月下夜想曲 悪魔城ドラキュラX 月下の夜想曲,https://www.douban.com/game/10734300/,50.0,90后。PS4重置版补坑。第一次玩但玩出了情怀。阿鲁卡多的信念足够有说服力。缺点是难度不足。,Alucard,1138.0,https://img3.doubanio.com/lpic/s9126621.jpg,13,动作
14,14,3DS,游戏 / 冒险 / 动作,9.5,塞尔达传说 魔吉拉的面具 3D ゼルダの伝説 ムジュラの仮面 3D,https://www.douban.com/game/26366574/,50.0,气质上最喜欢的一代绿帽。任天堂明面上是全年龄，其实暗地里喜欢在游戏里埋各种成年人恶趣味，只是假面比较明显而已，如果你有心去找，连水管工里都能找到很多成年人恶趣味。游戏把时之笛的“时”发挥到了极致，而且是在一个更加广义的程度上去发挥的，天才。,太阳共和国,262.0,https://img1.doubanio.com/lpic/s28048478.jpg,14,动作
15,15,Wii U,游戏 / 动作,9.5,超级马里奥3D世界 スーパーマリオ 3Dワールド,https://www.douban.com/game/25795432/,50.0,全球媒体总评高达93分的神作，这个分数也是目前次世代3大平台上新作（不算复刻）中最高的。3DS《超级马里奥3D大陆》的全面升级版（除了没有3D显示），关卡设计新颖，场景色彩斑斓，难度循序渐进，最后皇冠关我死了大概200多次才通。除了boss战略显单调外，几乎没有缺点。,松山光,330.0,https://img3.doubanio.com/lpic/s29600826.jpg,15,动作
16,16,PC / Mac,游戏 / 角色扮演 / 动作,9.5,暗黑破坏神2 Diablo 2,https://www.douban.com/game/10735092/,50.0,我总觉得，dioblo2重做一下画面就能拿来再骗钱了,老防汛员阿滋猫,4957.0,https://img3.doubanio.com/lpic/s10414066.jpg,16,动作
17,17,PC / PS4 / Xbox One,游戏 / 角色扮演 / 冒险 / 动作,9.5,黑暗之魂3：环印城 Dark Soul III: The Ringed City,https://www.douban.com/game/26961929/,50.0,无限猴子定理：如果让无数只猴子在电脑前随机地滚键盘，那么在无限的时间跨度里，总有一只可以通关黑魂3火灭版。灰烬大人，您真的是只特别的猴子呢。,李闰土骨灰撒海,653.0,https://img1.doubanio.com/lpic/s29582119.jpg,17,动作
18,18,Wii,游戏 / 动作,9.5,超级马力欧银河2 スーパーマリオギャラクシー 2,https://www.douban.com/game/21363025/,50.0,这是我玩过关卡设计最好最美丽的游戏。简直是艺术品。完全抑制不住射精的冲动。,松湯,269.0,https://img3.doubanio.com/lpic/s28397843.jpg,18,动作
19,19,GBA,游戏 / 角色扮演 / 动作,9.5,塞尔达传说：缩小帽 ゼルダの伝説 ふしぎのぼうし,https://www.douban.com/game/10741155/,50.0,我是真的嫉妒任天堂。横版过关类型的《银河战士》里的关卡迷宫化设计和道具收集系统等诸多设计理念放到ARPG类型的《塞尔达传说》里却仍然适用，不，应该说是比《银河战士》更适用。迷宫设计的精巧和适时的变大变小的创意先放一边，单是对幸福碎片的收集，就足够让玩家忙上半天。“会有好事发生吗？”当然了，还有比玩到这种好游戏更好的事吗？果然，我还是嫉妒任天堂。,残响死灭,1178.0,https://img1.doubanio.com/lpic/s28398578.jpg,19,动作
20,20,PC,游戏 / 格斗 / 模拟 / 角色扮演 / 冒险 / 策略 / 动作,9.5,骑马与砍杀：战团——16世纪北半球 16th Century the-Northern Hemisphere,https://www.douban.com/game/30187351/,50.0,16th，世界发现的的历史,大肚子海盗,54.0,https://img3.doubanio.com/lpic/s29732494.jpg,20,动作
21,21,FC/NES/红白机,游戏 / 横版过关 / 动作,9.5,超级马里奥兄弟 スーパーマリオブラザーズ,https://www.douban.com/game/10735077/,50.0,重来就没有通过关,赖猫不,8400.0,https://img1.doubanio.com/lpic/s28394668.jpg,21,动作
